 X_force  Z_force     lambda  Y_force    time(sec)
  0.9782   0.6556  339.46525   4.3024  10870.57227
  1.4441   0.6527  340.02395   4.3529  10870.57324
  2.0409   0.7687  339.51565   4.1812  10870.57617
  2.0671   0.7948  339.34300   4.1105  10870.57715
  2.0828   0.7455  339.38690   4.1812  10870.57715
  1.8891   0.8064  339.16370   4.0651  10870.57812
  1.7792   0.7513  339.37750   4.2115  10870.58008
  1.9257   0.7068  339.08625   4.2586  10870.58105
  1.9676   0.6991  339.20865   4.1644  10870.58105
  1.7722   0.7764  339.21950   4.1307  10870.58203
  1.6954   0.6991  339.88930   4.3125  10870.58301
  1.1300   0.7725  339.35470   4.1644  10870.58496
  0.7322   0.8615  339.46530   4.1509  10870.58496
  0.6344   0.8189  339.16915   4.2384  10870.58594
  0.6344   0.8189  339.36560   4.2182  10870.58691
  0.2610   0.8209  339.26355   4.2418  10870.58887
  0.6746   0.7658  339.20090   4.2267  10870.58887
  0.8578   0.7049  339.27940   4.2115  10870.58984
  0.7217   0.7803  339.24225   4.1913  10870.59180
  0.4879   0.7532  338.71360   4.1240  10870.59277
  1.2138   0.7426  338.92440   4.2368  10870.59570
  1.3342   0.6614  339.30240   4.2519  10870.59766
  0.9887   0.6904  339.40970   4.2014  10870.59766
  0.9573   0.6672  339.06680   4.2671  10870.59961
  0.9520   0.7078  339.30385   4.2418  10870.59961
  0.8159   0.7455  339.27965   4.2923  10870.60059
  0.6833   0.7455  339.12675   4.2317  10870.60156
  0.4948   0.7880  339.26095   4.2182  10870.60254
  1.0672   0.8267  339.92480   4.1307  10870.60449
  0.8578   0.7571  339.89960   4.3125  10870.60449
  0.8927   0.7532  339.32630   4.2250  10870.60547
  1.0044   0.8112  339.61570   4.1644  10870.60742
  1.7024   0.8305  339.39415   4.1105  10870.60840
  1.7582   0.8189  339.69040   4.1711  10870.60938
  1.7163   0.7513  339.60745   4.2570  10870.60938
  1.8472   0.8818  339.39545   4.0903  10870.61133
  1.4912   0.9021  339.48040   4.0853  10870.61133
  1.3970   0.8064  339.49685   4.1307  10870.61328
  1.2626   0.6681  339.67740   4.4337  10870.61328
  1.2661   0.4903  339.57045   4.5751  10870.61719
  0.9677   0.4642  339.21145   4.7165  10870.61719
  1.0306   0.5570  339.36735   4.6357  10870.61914
  0.9154   0.5367  339.48900   4.6862  10870.61914
  0.8212   0.5164  339.35180   4.7721  10870.62109
  0.7322   0.4748  339.70080   4.7636  10870.62109
  0.6344   0.3356  339.47810   4.8579  10870.62207
  0.8089   0.3201  339.86450   4.8310  10870.62402
  0.8997   0.3163  339.48240   4.8175  10870.62402
  1.4651   0.4671  339.54435   4.6694  10870.62500
  0.8927   0.4825  339.46040   4.7434  10870.62695
  0.8020   0.4013  339.54465   4.8377  10870.62793
  0.3692   0.2853  339.54780   5.0128  10870.62891
  0.8630   0.2670  339.14475   4.9791  10870.62891
  1.1038   0.2380  339.12855   4.9690  10870.63086
  0.9573   0.3250  339.25700   4.9488  10870.63086
  0.9887   0.4004  339.60660   4.8882  10870.63281
  0.7479   0.5570  339.75980   4.6913  10870.63281
 -0.2660   0.4709  339.79320   4.8175  10870.63672
  0.4111   0.4091  339.59505   4.8242  10870.63770
 -0.1124   0.4903  339.61225   4.7367  10870.63965
  0.5646   0.4410  339.65795   4.7670  10870.63965
  0.7060   0.3656  339.65945   4.8983  10870.64062
  0.9101   0.2728  339.31435   4.9236  10870.64258
  0.9101   0.3627  339.69115   4.8226  10870.64355
  0.6693   0.4323  339.26645   4.8125  10870.64355
  0.7042   0.4477  339.19715   4.7636  10870.64453
  0.8054   0.5802  339.13265   4.6509  10870.64746
  0.9049   0.5744  339.13145   4.6357  10870.64844
  0.8107   0.3888  339.44165   4.8074  10870.65039
  0.7897   0.4178  339.36580   4.7014  10870.65137
  1.1353   0.3743  339.12390   4.8175  10870.65137
  0.9416   0.4477  339.22210   4.7098  10870.65234
  0.5018   0.4787  339.43370   4.6963  10870.65332
  0.4390   0.5019  339.20355   4.8074  10870.65430
  1.5488   0.4671  339.74215   4.7367  10870.65527
  1.1859   0.4052  339.29280   4.6896  10870.65625
