 X_force  Z_force     lambda  Y_force    time(sec)
  0.4181  -0.0259  289.72955   0.6917  10742.13477
  0.2139  -0.1071  289.44350   0.7674  10742.13672
  0.0307  -0.2782  289.66460   0.8583  10742.13672
 -0.4824  -0.1245  289.13545   0.6765  10742.13867
  0.0830   0.0031  289.43655   0.6361  10742.13965
  0.3483   0.0417  289.72735   0.6092  10742.13965
  0.6135  -0.0240  289.97765   0.6563  10742.14062
 -0.2154  -0.0607  289.42400   0.7068  10742.14258
  0.4809   0.1017  289.87690   0.5553  10742.14258
  0.5594   0.1075  289.69145   0.5149  10742.14453
  0.1249   0.1713  289.43755   0.4291  10742.14453
  0.3657   0.1104  290.09260   0.4947  10742.14648
  0.2191   0.1075  289.37185   0.5402  10742.14648
  0.2296   0.1133  289.74220   0.5553  10742.14746
  0.2296   0.0727  290.05100   0.5755  10742.14844
  0.6903   0.0901  289.41575   0.6159  10742.15039
  0.3238  -0.0433  289.43085   0.6361  10742.15039
  0.7322  -0.0665  289.52615   0.6563  10742.15234
  0.2819  -0.2521  289.23195   0.8280  10742.15234
  0.3395  -0.3304  289.93980   0.8886  10742.15430
  0.1668  -0.3304  289.89720   0.9543  10742.15430
 -0.2869  -0.2908  289.84915   0.8516  10742.15625
 -0.3637  -0.1477  289.98560   0.7573  10742.15625
  0.2854  -0.0163  289.66350   0.5957  10742.15820
  0.5123   0.2815  289.51470   0.5957  10742.15820
  1.8420   1.4299  287.52335   0.4543  10742.16016
  1.0672   0.8112  288.19825   0.6226  10742.16016
 -0.3218  -0.0897  289.75600   0.7236  10742.16113
  0.7636  -0.0984  289.87255   0.6513  10742.16211
  1.1457   0.0176  289.67055   0.5755  10742.16406
  0.6484  -0.0810  289.61610   0.6866  10742.16406
  0.2819  -0.0752  290.14115   0.6715  10742.16602
  0.1930  -0.1535  290.09760   0.7422  10742.16602
  0.1668  -0.3217  289.75125   0.8937  10742.16797
  0.3134  -0.4609  290.05465   1.0401  10742.16797
  0.6379  -0.2405  289.55185   0.7371  10742.16992
  0.2191  -0.3797  289.85940   0.9088  10742.16992
  0.0778  -0.3594  289.85655   0.9038  10742.17188
  0.4809  -0.3681  290.05205   0.9391  10742.17188
  0.1406  -0.2811  290.29220   0.8886  10742.17480
  0.2558  -0.1390  290.05225   0.8280  10742.17480
  0.1458  -0.1013  289.38095   0.8314  10742.17578
  0.2505  -0.1593  290.02190   0.8246  10742.17676
  0.2156  -0.1400  290.27550   0.7573  10742.17871
  0.2505  -0.1071  289.83530   0.6765  10742.17871
  0.7531   0.1075  290.53305   0.6563  10742.18066
  0.1458   0.0611  289.79715   0.6159  10742.18164
 -0.2101   0.0649  289.85660   0.6294  10742.18262
 -0.5940   0.0997  290.55800   0.6159  10742.18262
 -0.4824  -0.0346  289.77165   0.7169  10742.18359
 -0.3986  -0.0984  290.17175   0.8432  10742.18555
 -0.3096  -0.0375  290.13350   0.7220  10742.18652
 -0.3881  -0.1216  289.97975   0.7876  10742.18652
 -0.3096  -0.0317  290.55400   0.6917  10742.18750
 -0.4824   0.0930  290.18995   0.6866  10742.18945
 -0.6708  -0.0549  289.73325   0.8179  10742.18945
 -0.0217  -0.1129  290.08680   0.7775  10742.19141
  0.3552  -0.1796  289.94515   0.8684  10742.19141
  0.6065  -0.2579  290.44725   0.8432  10742.19336
  0.8421  -0.2173  290.16905   0.8230  10742.19434
  0.5385  -0.0288  290.15930   0.6260  10742.19434
  0.6955  -0.0172  289.82770   0.6462  10742.19531
  0.4809  -0.1245  290.14430   0.7708  10742.19629
  0.4181  -0.1941  289.94005   0.7304  10742.19824
  0.2645  -0.0395  290.25045   0.6294  10742.19824
  0.3134  -0.0433  289.96585   0.6765  10742.19922
 -0.5871  -0.1477  290.38515   0.7573  10742.20117
 -0.4963  -0.2135  289.86470   0.8987  10742.20215
  0.2854  -0.3140  289.99110   0.8785  10742.20215
  0.3692  -0.2521  289.52510   0.7910  10742.20312
  0.3134  -0.2956  290.18570   0.8836  10742.20508
  0.4442  -0.2028  289.81290   0.7573  10742.20605
  0.3919  -0.1158  290.09635   0.7119  10742.20605
 -0.2939  -0.0665  289.78585   0.7573  10742.20703
  0.0883  -0.0665  289.51780   0.7270  10742.20898
 -0.3777  -0.0143  290.04220   0.6765  10742.20898
 -0.3148   0.0379  290.03340   0.6765  10742.20996
 -0.5242   0.0147  290.19110   0.6967  10742.21289
 -0.4457   0.0350  290.16215   0.6765  10742.21289
 -0.5347   0.0321  290.08355   0.7422  10742.21484
 -0.4824  -0.0491  290.22315   0.7624  10742.21484
 -0.3777  -0.0172  289.96410   0.7220  10742.21680
 -0.6499   0.0060  290.15125   0.6412  10742.21680
 -0.0322  -0.0462  289.96970   0.6361  10742.21875
  0.1319  -0.0472  289.81050   0.6967  10742.21875
  0.1738   0.0765  290.13660   0.5351  10742.22070
  0.3081  -0.1100  290.20705   0.7169  10742.22266
  0.6903  -0.1477  290.10260   0.7169  10742.22461
  0.6205  -0.1593  290.05755   0.7910  10742.22461
  0.9067  -0.1516  290.07950   0.7102  10742.22559
  0.4111  -0.1825  289.65380   0.8314  10742.22656
  0.2087  -0.2637  289.88435   0.9459  10742.22754
  0.7950  -0.1332  289.90300   0.8179  10742.22852
  0.8857  -0.0859  289.85035   0.7236  10742.22949
  0.4599  -0.2521  289.78990   0.8583  10742.23047
  0.4495  -0.2869  290.08680   0.8482  10742.23242
  0.2715  -0.1671  289.73095   0.7910  10742.23340
  0.6973   0.0959  290.29110   0.5553  10742.23438
  0.9067   0.1423  290.39620   0.5621  10742.23438
  0.5228  -0.0317  289.95810   0.6226  10742.23633
  0.5437  -0.0288  290.14095   0.6361  10742.23633
  0.1825  -0.0462  290.39655   0.6058  10742.23828
 -0.4824  -0.0578  290.20365   0.6614  10742.23828
 -0.5609  -0.1071  289.92720   0.7220  10742.24023
 -0.0426   0.0611  290.40175   0.6159  10742.24023
  0.5856  -0.0433  290.06590   0.6563  10742.24219
  0.2505   0.1017  290.47240   0.6260  10742.24219
  0.1109   0.1113  290.12435   0.5419  10742.24414
  0.9416   0.0108  290.23650   0.5351  10742.24512
  0.8857  -0.1245  290.06730   0.7035  10742.24609
  0.9834  -0.1709  289.90825   0.7842  10742.24609
  0.9677  -0.1361  290.10345   0.7977  10742.24805
  1.0148   0.0495  290.14710   0.6614  10742.24805
  0.9049  -0.0317  290.34055   0.6715  10742.25000
  0.8787   0.0147  290.23460   0.5907  10742.25195
  0.3134   0.0756  289.91525   0.5402  10742.25391
  0.2645   0.0147  290.02275   0.6024  10742.25488
 -0.2171   0.0147  290.02365   0.6698  10742.25684
  0.0062   0.0031  289.86030   0.6024  10742.25684
  0.2436   0.0456  289.88995   0.5418  10742.25781
  0.3064  -0.0317  289.81910   0.6092  10742.25879
  0.6013  -0.0114  289.91335   0.6008  10742.26074
  0.0342   0.0263  290.18080   0.5419  10742.26074
 -0.0845  -0.0317  290.50670   0.6361  10742.26270
  0.2505   0.1017  290.41945   0.5149  10742.26367
  0.4669   0.1345  290.45135   0.5149  10742.26465
  0.5088  -0.0588  290.15945   0.6024  10742.26465
  0.5716  -0.1671  290.31945   0.6900  10742.26562
  0.6065  -0.1013  289.76190   0.6428  10742.26660
  0.6536   0.0263  290.04410   0.6008  10742.26855
  0.5332  -0.1100  289.69705   0.6765  10742.26855
