 X_force  Z_force     lambda  Y_force    time(sec)
  0.6327   0.8847  341.99575   4.7216  10929.13672
  0.2662   0.8180  341.93600   4.7569  10929.13867
  0.8648   0.7841  341.99005   4.8108  10929.14062
  0.9136   0.8692  341.88505   4.7434  10929.14160
  0.5228   0.7416  341.86125   4.8848  10929.14355
  0.5297   0.8112  342.09735   4.9454  10929.14355
  1.3813   0.8615  341.99675   4.7923  10929.14453
  1.5541   0.8383  341.95645   4.8731  10929.14648
  1.7792   0.8847  342.04325   4.7721  10929.14648
  1.6273   0.9108  341.88130   4.6761  10929.14844
  1.4965   0.7919  342.22895   4.7872  10929.14844
  1.2557   0.7107  342.36385   4.8579  10929.15039
  1.3447   0.6904  341.98600   5.0044  10929.15137
  1.3970   0.7078  341.90520   4.9438  10929.15137
  1.8106   0.7252  341.93225   4.8377  10929.15234
  1.8943   0.7368  341.91055   4.7367  10929.15430
  1.9414   0.7281  342.32195   4.8024  10929.15430
  1.8350   0.7107  341.99180   4.8781  10929.15625
  1.8210   0.6952  341.59335   4.9724  10929.15625
  2.4841   0.7223  342.10900   4.8781  10929.15723
  2.1037   0.7745  342.16415   4.8983  10929.15820
  1.8839   0.6875  342.03670   5.0195  10929.15918
  1.3394   0.7725  342.23075   4.8242  10929.16016
  0.9276   0.7919  341.79840   4.8512  10929.16113
  1.2085   0.7832  342.03765   4.7872  10929.16211
  1.6745   0.8354  341.87965   4.8024  10929.16406
  1.1353   0.8992  341.60850   4.6812  10929.16406
  0.9468   0.8383  341.76975   4.8226  10929.16602
  0.9154   0.9253  341.93400   4.7569  10929.16699
  0.8159   0.9253  342.35685   4.6458  10929.16699
  0.8369   1.0548  342.37580   4.4808  10929.16797
  1.0044   1.0471  342.79330   4.6357  10929.16992
  1.1300   1.0007  342.74180   4.5145  10929.16992
  1.3115   0.8653  341.83450   4.8848  10929.17188
  1.0881   0.7377  342.19650   4.8579  10929.17188
  1.4511   0.8615  342.01775   4.7502  10929.17480
  1.8367   0.9833  341.86215   4.5398  10929.17480
  1.4965   0.9514  341.93625   4.5398  10929.17578
  1.1091   0.8644  342.11710   4.7670  10929.17773
  0.7845   0.7571  341.83265   4.9135  10929.17871
  1.0567   0.7571  341.92845   4.9034  10929.17871
  0.9101   0.7513  341.93195   4.9387  10929.17969
  1.4441   0.7571  342.77570   4.6761  10929.18164
  1.6116   0.7948  341.86305   4.7367  10929.18262
  1.3499   0.7020  341.76805   4.8327  10929.18262
  1.0934   0.6788  341.87330   4.9589  10929.18359
  1.2818   0.7281  341.84055   4.8529  10929.18555
  1.9676   0.8412  341.55390   4.7064  10929.18652
  1.7006   0.7977  341.66855   4.8175  10929.18652
  1.4720   0.7532  341.73615   4.9657  10929.18750
  1.3604   0.7725  342.21495   4.8848  10929.18848
  0.9625   0.7919  342.09345   4.9387  10929.18945
  0.5437   0.6875  342.03325   4.9589  10929.19043
  1.4790   0.7493  342.15055   4.9252  10929.19141
  1.6256   0.8344  341.81045   4.7165  10929.19238
  1.8315   0.7484  342.01215   4.8478  10929.19434
  1.1981   0.6411  342.29645   4.9690  10929.19434
  1.1981   0.6295  342.20055   4.9185  10929.19531
  1.7792   0.7136  341.50045   4.8276  10929.19727
  2.2346   0.8093  341.79735   4.6862  10929.19824
  1.9048   0.7948  341.86345   4.7620  10929.19824
  1.9537   0.7919  341.63565   4.8444  10929.19922
  1.4860   0.9427  342.15065   4.5347  10929.20020
  1.3185   0.9311  342.45275   4.6761  10929.20215
  0.9259   0.9282  342.19260   4.7367  10929.20215
  1.3132   0.9224  342.16280   4.7014  10929.20312
  1.6273   0.8644  342.14350   4.7973  10929.20508
  1.1038   0.8006  341.89560   4.8983  10929.20605
  0.9677   0.8963  342.26155   4.7670  10929.20605
  1.3342   0.9137  342.18495   4.6660  10929.20703
  1.3953   0.8769  342.19895   4.7569  10929.20801
  1.2487   0.9427  342.03540   4.6223  10929.20996
  1.5907   0.9485  341.86770   4.7064  10929.20996
  1.4441   0.8731  341.37945   4.7165  10929.21094
  1.3673   0.7957  342.02450   4.9050  10929.21387
  1.3045   0.7029  342.06795   5.0128  10929.21387
  0.9363   0.6614  341.98790   5.1054  10929.21484
  1.0567   0.6498  341.82135   5.0498  10929.21680
  0.9573   0.6469  342.12240   5.0700  10929.21680
  0.8892   0.6991  342.06220   4.9438  10929.21875
  1.2033   0.7513  341.90650   4.8983  10929.21875
  1.6640   0.6585  341.78150   5.0801  10929.22070
  1.9362   0.7861  341.94640   4.7468  10929.22070
  2.0304   0.7107  342.19120   4.8377  10929.22266
  1.8001   0.6672  342.28065   4.9084  10929.22266
  1.5174   0.7542  341.98830   4.7216  10929.22461
  1.7530   0.9166  341.85540   4.6357  10929.22461
  1.5959   0.9166  341.95450   4.6256  10929.22656
  1.3080   0.9282  341.92605   4.7822  10929.22656
  1.5122   0.9195  341.98100   4.7064  10929.22852
  1.7844   0.8586  341.91835   4.9438  10929.22949
  1.3953   0.8769  342.11475   4.7704  10929.22949
  1.5907   0.8673  342.04860   4.7266  10929.23047
  1.2068   0.8963  341.91020   4.7232  10929.23438
  1.9816   0.8731  342.21730   4.6828  10929.23438
  0.9555   0.8383  341.86435   4.8916  10929.23535
  1.2871   0.8441  342.10995   4.8428  10929.23730
  1.1562   0.7687  341.88810   4.8781  10929.23730
  1.1981   0.7629  342.16780   4.9084  10929.23828
  1.0463   0.6179  342.20905   5.1407  10929.24023
  1.4179   0.6121  341.79435   5.0145  10929.24023
  2.0514   0.7107  341.98285   4.9589  10929.24219
  1.5698   0.8035  341.46940   4.7367  10929.24316
  1.2487   0.7223  341.94285   4.9656  10929.24316
  1.3883   0.7107  342.14305   4.9791  10929.24512
  1.7443   0.6797  342.32230   5.0060  10929.24512
  1.8682   0.5512  342.03430   5.1458  10929.24609
  1.4965   0.4729  342.23385   5.3377  10929.24805
  1.6012   0.6614  342.16150   5.0902  10929.24805
  1.4075   0.8267  342.16250   4.8276  10929.25000
  1.2818   0.9427  342.20775   4.6711  10929.25195
  1.3080   0.9195  342.23765   4.7771  10929.25195
  0.9520   0.8615  341.58430   4.8276  10929.25391
  0.9206   0.7803  341.99130   4.8377  10929.25391
  1.1614   0.7774  342.09155   4.8327  10929.25586
  1.5977   0.8151  342.29040   4.7502  10929.25684
  1.2208   0.7416  342.25650   4.8646  10929.25781
  0.8369   0.8344  342.00260   4.8849  10929.25781
  1.5000   0.8383  341.66060   4.7906  10929.25879
  1.4092   0.7957  341.46240   4.7098  10929.26074
  1.1928   0.8296  341.97210   4.6610  10929.26074
  1.4232   0.7919  342.29595   4.8040  10929.26172
  0.8159   0.7339  342.09225   4.8377  10929.26270
  1.1300   0.7455  342.01035   5.0599  10929.26465
  1.0724   0.7716  342.19280   5.0902  10929.26465
  1.6430   0.7977  342.29230   5.0448  10929.26562
  1.7320   0.6962  341.87570   5.2771  10929.26758
  1.2452   0.6556  342.24735   5.3175  10929.26855
  1.3918   0.8006  342.02455   5.1912  10929.26855
  0.5542   0.6933  342.01110   5.2266  10929.26953
  0.7531   0.5889  341.69050   5.3023  10929.27148
  1.1771   0.5802  341.77870   5.2973  10929.27246
  1.3185   0.5599  341.66360   5.2821  10929.27246
  1.0253   0.6179  342.08825   5.2013  10929.27344
  1.2033   0.5802  342.17025   5.2064  10929.27539
  1.4703   0.4555  341.81275   5.3427  10929.27637
  1.8001   0.5676  341.85115   5.2821  10929.27637
  1.6954   0.6604  341.83765   5.1811  10929.27734
  1.4022   0.6488  341.84110   5.1811  10929.27832
  1.4441   0.6256  341.72525   5.1946  10929.28027
  2.0304   0.6411  341.82160   5.0801  10929.28125
  1.5541   0.6324  342.00600   5.1710  10929.28125
  0.9416   0.6701  342.11340   5.1407  10929.28223
  1.0463   0.6411  342.07630   5.1811  10929.28418
  1.3604   0.6701  341.84845   5.1660  10929.28418
  1.0567   0.6266  341.84275   5.2468  10929.28516
  1.1091   0.6063  342.10155   5.3225  10929.28711
  1.4022   0.6962  341.86615   5.1508  10929.28809
  1.6116   0.6759  342.14170   5.1609  10929.28906
  1.1562   0.5773  342.13050   5.2771  10929.29102
  0.4652   0.5367  342.25020   5.3276  10929.29199
  0.8369   0.6295  341.91610   5.1946  10929.29199
  1.1405   0.6585  342.40485   5.2417  10929.29297
  1.1091   0.6411  342.46180   5.2417  10929.29492
  1.4022   0.5599  342.07240   5.2619  10929.29590
  1.0114   0.5599  342.03000   5.2956  10929.29688
  0.7391   0.6140  342.28400   5.2686  10929.29688
  1.2836   0.6565  341.93845   5.1811  10929.29785
  1.3761   0.6353  342.01075   5.1407  10929.29980
  1.4755   0.5686  341.64185   5.2165  10929.29980
  1.4284   0.5947  342.27110   5.2821  10929.30078
  1.3970   0.6527  341.85625   5.2670  10929.30273
  1.2295   0.6295  342.05635   5.2771  10929.30273
  1.0044   0.5483  341.71375   5.3629  10929.30371
  2.1456   0.6643  342.03650   5.1710  10929.30469
  2.0409   0.6875  342.03205   5.1407  10929.30664
  1.5122   0.6730  342.11495   5.2064  10929.30762
  1.1143   0.7571  342.13885   5.0902  10929.30762
  1.5698   0.7252  341.83630   5.1306  10929.30859
  1.7216   0.6411  342.24685   5.2013  10929.31055
  1.2347   0.6092  342.18155   5.2417  10929.31055
  1.7530   0.4990  342.25715   5.3882  10929.31250
  1.6186   0.4671  342.12705   5.4504  10929.31250
  1.4651   0.6295  342.39570   5.2417  10929.31445
  1.4860   0.6063  342.45360   5.2215  10929.31543
  1.2068   0.5251  342.40655   5.3831  10929.31543
  0.7810   0.4245  342.41100   5.4235  10929.31641
  1.1370   0.4864  342.70385   5.3831  10929.31738
  1.2871   0.5889  342.20210   5.2973  10929.31836
  1.0724   0.5918  342.41335   5.3175  10929.32031
  0.7112   0.6411  342.06345   5.2064  10929.32031
  0.4390   0.6295  342.17085   5.2720  10929.32227
  0.2767   0.6933  342.38535   5.1357  10929.32324
  0.4809   0.7919  342.68340   5.1003  10929.32324
  1.1091   0.8499  341.50965   5.0700  10929.32422
  1.4598   0.8064  341.76130   5.1003  10929.32617
  1.2295   0.6614  341.77835   5.1508  10929.32617
  1.3970   0.6846  342.15640   5.0852  10929.32812
  1.2975   0.6150  342.09570   5.2316  10929.33008
  0.9468   0.6005  341.87930   5.2771  10929.33105
  1.1510   0.7648  341.90285   5.1609  10929.33105
  1.0951   0.7996  342.24170   5.1609  10929.33203
  1.7792   0.7532  342.22850   5.0599  10929.33301
  1.7373   0.7648  342.03090   4.9522  10929.33496
  1.0148   0.5541  342.28295   5.2316  10929.33594
  0.9834   0.5947  342.02175   5.2619  10929.33691
  1.0183   0.5599  342.14445   5.3360  10929.33691
  1.6675   0.5212  342.61670   5.3292  10929.33887
  1.1771   0.4149  342.39220   5.3730  10929.33887
  1.1928   0.4033  342.04100   5.3629  10929.33984
  1.1614   0.3569  341.49435   5.3528  10929.34180
  0.9991   0.3598  341.83955   5.4033  10929.34277
  1.4022   0.4497  342.04825   5.3175  10929.34277
  1.5855   0.5570  342.24480   5.2973  10929.34375
  0.8787   0.6295  342.36630   5.2215  10929.34473
  0.8683   0.6933  341.68765   5.1306  10929.34668
  1.3447   0.6701  342.10490   5.2013  10929.34668
  1.1353   0.5048  341.93780   5.3225  10929.34766
  1.5593   0.6208  342.32040   5.2114  10929.34961
  1.6169   0.6817  342.54170   5.1104  10929.35059
  1.8524   0.7484  342.07280   5.1306  10929.35059
  1.9100   0.8470  341.85630   5.0397  10929.35156
  1.1300   0.6643  341.89215   5.2013  10929.35352
  1.1579   0.5792  342.16935   5.1609  10929.35449
  1.4022   0.5599  342.59280   5.2316  10929.35547
  1.2347   0.5019  342.08075   5.2417  10929.35645
  1.4371   0.5560  342.11465   5.2619  10929.35645
  1.2836   0.4903  342.21400   5.3225  10929.35840
  1.2295   0.6034  342.04605   5.1609  10929.35840
  1.8524   0.5918  341.88440   5.2215  10929.35938
  2.0723   0.5889  342.10225   5.2266  10929.36133
  1.5174   0.6440  342.07705   5.2165  10929.36230
  1.1510   0.6382  342.04860   5.1862  10929.36230
  0.8002   0.5744  342.15200   5.4084  10929.36328
  1.0358   0.6121  341.75320   5.2619  10929.36426
  0.3971   0.6295  341.66185   5.3023  10929.36621
  0.9939   0.6469  341.81940   5.1912  10929.36719
  1.3289   0.6179  342.03495   5.2013  10929.36914
