 X_force  Z_force     lambda  Y_force    time(sec)
  1.5855   0.9862  296.02530   3.9691  11028.51074
  0.9276   0.9581  296.11390   3.9354  11028.51172
  1.4232   0.8963  296.11630   4.0297  11028.51270
  1.5698   0.8615  296.46275   4.0701  11028.51465
  1.1353   0.8702  296.31850   3.9439  11028.51465
  0.5856   0.7774  296.33590   4.1863  11028.51562
  0.8787   0.7310  295.97070   4.2469  11028.51758
  1.2400   0.7107  296.36985   4.1459  11028.51855
  1.0567   0.7861  296.14005   4.0600  11028.51855
  0.9834   0.8808  296.18245   4.0836  11028.52051
  1.0253   0.8305  296.06070   3.9758  11028.52246
  0.8718   0.9001  296.42130   3.9489  11028.52344
 -0.2520   0.7919  295.80890   4.1105  11028.52344
  0.1877   0.7107  296.15605   4.1105  11028.52539
  0.3081   0.7310  296.03450   4.1459  11028.52637
  0.3605   0.7194  295.93815   4.1055  11028.52637
  1.0777   0.7426  296.04270   4.1358  11028.52734
  1.5017   0.7542  296.07170   4.1156  11028.52930
  1.4651   0.7832  295.84425   4.1206  11028.52930
  1.6378   0.8702  296.18970   4.1105  11028.53125
  1.3918   0.8876  295.95395   4.0802  11028.53125
  1.5959   0.8586  295.99675   3.9843  11028.53320
  1.1510   0.8383  296.12140   3.9691  11028.53320
  1.1300   0.7107  295.82845   4.0701  11028.53516
  0.9468   0.8122  296.02030   4.0853  11028.53516
  0.9259   0.8354  296.21795   4.0600  11028.53711
  0.9049   0.8151  295.95385   4.0651  11028.53711
  0.6554   0.7571  295.90195   4.0970  11028.53906
  0.9206   0.7725  296.24840   4.1172  11028.53906
  0.8927   0.7029  295.92600   4.1711  11028.54199
  0.9259   0.7513  296.02215   4.1004  11028.54199
  1.4127   0.9746  295.66090   3.8782  11028.54199
  1.4162   1.0007  295.94125   3.8412  11028.54297
  1.7582   1.0239  295.87095   3.8681  11028.54492
  2.1142   1.0123  295.58125   3.8277  11028.54590
  1.6186   0.9929  296.14230   3.9220  11028.54688
  1.2975   1.0393  296.23965   3.8345  11028.54688
  1.0672   1.0239  296.16525   3.8614  11028.54785
  0.8369   1.0277  296.59600   3.8614  11028.54980
  0.9520   1.0703  296.19845   3.8176  11028.54980
  1.4912   1.1109  295.97185   3.7368  11028.55078
  1.5907   0.9572  295.65490   3.9439  11028.55273
  1.4022   0.9456  295.90745   3.9237  11028.55273
  1.8106   0.9137  296.17770   3.9085  11028.55469
  1.4022   0.7803  296.82745   4.1711  11028.55469
  1.4651   0.7300  296.09715   4.2856  11028.55566
  1.2417   0.4787  296.20485   4.4404  11028.55762
  0.4879   0.5908  296.55400   4.3125  11028.55859
  0.8159   0.6788  295.95030   4.2065  11028.56055
  1.1771   0.7629  296.21855   4.0550  11028.56152
  1.4389   0.6353  296.26240   4.3479  11028.56152
  0.6955   0.5280  296.44290   4.4640  11028.56250
  0.6850   0.6498  296.20935   4.2620  11028.56445
  0.2610   0.5831  296.29370   4.3125  11028.56445
  0.2715   0.5947  295.44350   4.5145  11028.56641
  0.3762   0.6295  296.39385   4.2115  11028.56641
  0.8107   0.5251  296.34555   4.3226  11028.56836
