 X_force  Z_force    lambda  Y_force    time(sec)
  0.0795   0.1282  34.43440   3.6452  26334.19531
  0.6519   0.0354  34.31250   3.6048  26334.19531
  0.6379  -0.0381  34.32445   3.5442  26334.19727
  0.6693  -0.0207  34.62430   3.5105  26334.19727
  0.4913  -0.1193  34.42005   3.5307  26334.19922
  0.1005  -0.1425  34.07885   3.5105  26334.19727
 -0.0182  -0.2159  34.32305   3.4499  26334.20117
  0.1249  -0.2759  34.26835   3.4954  26334.20117
  0.1040  -0.3020  34.09765   3.3893  26334.20312
  0.3500  -0.3571  34.62455   3.4499  26334.20312
 -0.1578  -0.4441  34.60350   3.3641  26334.20508
  0.2401  -0.1802  34.05500   3.4550  26334.20508
  0.3709   0.0373  34.33060   3.5358  26334.20703
  0.9311   0.0895  34.43455   3.4701  26334.20703
 -0.1159   0.0663  34.45395   3.6317  26334.20898
  0.1982   0.2171  34.07475   3.4701  26334.20898
  0.3029   0.2055  34.42525   3.5038  26334.21094
  0.1144   0.1746  34.30720   3.6856  26334.21094
  0.1144   0.1166  34.29335   3.5375  26334.21289
 -0.1787  -0.0419  34.79105   3.5375  26334.21289
  0.1982   0.0315  34.35895   3.6974  26334.21484
  0.0830  -0.0149  34.62170   3.5812  26334.21484
  0.2505   0.0489  34.45125   3.4853  26334.21680
  0.8630   0.1794  34.53040   3.6469  26334.21680
  0.0725  -0.0961  34.07825   3.5105  26334.21875
  0.2191   0.1069  34.45540   3.8135  26334.21875
  0.0464   0.0112  34.53555   3.7075  26334.22070
  0.1301  -0.0874  34.44380   3.3893  26334.22070
 -0.2468  -0.1338  34.63825   3.5105  26334.22266
  0.0882  -0.0323  34.45455   3.4903  26334.22266
  0.2401  -0.0091  34.96455   3.7984  26334.22461
  0.8735   0.0025  34.43830   3.4651  26334.22461
  0.2610  -0.0767  34.54600   3.4971  26334.22656
  0.0167  -0.2546  34.67705   3.6183  26334.22656
  0.1354  -0.2817  34.97745   3.4802  26334.22852
 -0.0950  -0.0961  34.78060   3.5913  26334.22852
  0.3168  -0.1231  34.89670   3.4769  26334.22852
  0.0516  -0.3203  34.55555   3.3759  26334.22852
  0.2715  -0.2527  34.43145   3.4651  26334.23242
  0.2244  -0.1599  34.90245   3.4499  26334.23242
 -0.0479  -0.2846  34.88990   3.4045  26334.23438
  0.4442  -0.2382  34.72295   3.5055  26334.23438
  0.5960  -0.0526  34.71505   3.4398  26334.23633
  0.8211   0.1185  34.45710   3.5964  26334.23633
  0.8473   0.0837  34.09325   3.6519  26334.23828
  0.4495   0.1475  34.46005   3.5913  26334.23828
  0.0516   0.1359  34.08535   3.6317  26334.24023
  0.3517   0.2094  34.69600   3.6789  26334.24023
  0.4425   0.0199  34.81150   3.5981  26334.24219
  0.2976  -0.0613  34.62935   3.4954  26334.24219
  0.2139  -0.0497  34.33200   3.5863  26334.24414
  0.6013  -0.0120  34.24745   3.3641  26334.24414
  0.6170  -0.0468  34.16915   3.4802  26334.24609
  0.5856  -0.0932  34.35555   3.4701  26334.24609
  0.4181  -0.2237  34.70670   3.4297  26334.24805
 -0.6185  -0.3977  34.78560   3.5307  26334.24805
 -0.3253  -0.1889  34.59415   3.5711  26334.25000
 -0.4981  -0.1570  34.15295   3.5762  26334.25000
 -0.1840   0.0402  34.43505   3.5257  26334.25195
  0.3552   0.1823  34.54485   3.5661  26334.25195
  0.3919   0.0721  34.54895   3.6620  26334.25391
  0.5699  -0.0265  34.26590   3.6115  26334.25391
  0.2924  -0.0816  34.18350   3.7226  26334.25586
  0.0307   0.0054  34.44775   3.5863  26334.25586
  0.2540   0.0818  34.92100   3.5375  26334.25781
  0.0097   0.0083  34.76050   3.5913  26334.25781
  0.3866   0.1591  34.80250   3.6317  26334.25977
  0.1284   0.1127  34.32765   3.4903  26334.25977
  0.2121   0.1475  34.21575   3.6452  26334.25977
  0.3587   0.2171  34.57230   3.6721  26334.25977
  0.6641   0.2838  34.79395   3.8287  26334.26367
  0.4809   0.3621  34.88580   3.6317  26334.26367
  0.2087   0.1649  34.41985   3.6166  26334.26562
  0.1772   0.1881  34.26665   3.5560  26334.26562
 -0.2416   0.1475  34.71715   3.6065  26334.26758
  0.1040   0.0721  34.09820   3.6216  26334.26758
  0.8054   0.2171  33.36925   3.6317  26334.27148
  0.3029   0.1707  34.42220   3.6721  26334.27148
  0.3517   0.2210  34.79170   3.6317  26334.27344
  0.0656   0.2017  34.55880   3.6115  26334.27344
 -0.1369   0.1678  34.88775   3.7479  26334.27344
  0.0307   0.0605  34.53165   3.6923  26334.27539
  0.3552  -0.0497  34.90430   3.4297  26334.27734
  0.5123   0.0141  34.52370   3.2025  26334.27734
  0.3395  -0.0642  34.72730   2.9651  26334.27930
  0.1144  -0.0410  34.55270   2.9146  26334.27930
  0.0725   0.0431  34.80985   2.7227  26334.28125
  0.4599   0.0489  34.26280   2.9348  26334.28125
  0.9241   0.0354  34.22530   2.9045  26334.28125
  0.4425  -0.1115  34.56265   3.0459  26334.28320
  0.7496  -0.0922  34.31465   2.9517  26334.28711
  0.1423  -0.0999  34.17575   3.2075  26334.28711
 -0.0740  -0.0110  34.55135   2.9382  26334.28711
 -0.4614  -0.0468  34.16060   2.9550  26334.28711
  0.0097  -0.0033  34.54305   3.0308  26334.28906
 -0.3724  -0.1512  34.51790   2.9853  26334.28906
  0.2401   0.0344  34.16650   3.1217  26334.29297
 -0.0461  -0.1115  34.09430   2.9449  26334.29102
 -0.4021  -0.1231  34.10180   2.9651  26334.29492
 -0.0182   0.0199  33.86625   3.0594  26334.29492
  0.3448   0.0895  34.31740   3.1469  26334.29688
  0.5332   0.2365  34.42760   3.0594  26334.29688
  0.8473   0.3360  34.45175   3.1520  26334.29688
  0.4913   0.3360  34.16870   3.2934  26334.29883
  0.1563   0.2867  34.43085   3.2277  26334.30078
  0.1982   0.3679  34.12390   3.4499  26334.30078
 -0.3777   0.2519  34.25205   3.2075  26334.30273
 -0.1299   0.2597  34.55855   3.1469  26334.30273
  0.1005   0.2867  34.07175   2.9382  26334.30469
  0.8421   0.2925  34.42520   2.8540  26334.30469
  0.6484   0.0663  34.33305   3.1116  26334.30469
  1.2138   0.0895  34.53490   2.9247  26334.30664
  0.5228   0.0750  34.44155   2.9601  26334.30859
  0.0621  -0.0091  34.61490   2.9197  26334.30859
 -0.0322   0.0228  34.45225   3.0106  26334.31055
  0.4809   0.1504  34.43875   3.1166  26334.31250
 -0.2206   0.0857  34.56235   2.9382  26334.31250
 -0.3602   0.1398  34.43890   3.1335  26334.31445
 -0.2555   0.2171  34.20965   3.0392  26334.31836
  0.2680   0.1785  34.43315   3.1671  26334.31836
 -0.0845   0.2345  34.36345   3.1873  26334.31836
  0.3081   0.2577  34.34870   3.0510  26334.31836
  0.6728   0.2249  35.05430   2.8978  26334.32031
  0.5960   0.2751  35.14775   2.9853  26334.32031
  0.2715   0.1997  34.61670   3.2277  26334.32227
  0.0027   0.1089  34.31730   3.1133  26334.32227
  0.3797   0.0045  34.54670   3.0527  26334.32227
 -0.0322  -0.0651  34.55375   2.9719  26334.32227
 -0.0583  -0.1077  34.51780   2.8490  26334.32617
  0.0621   0.0170  34.77240   3.1368  26334.32617
 -0.1683   0.0547  34.35000   2.7833  26334.32812
  0.1040  -0.0874  34.50185   2.7934  26334.32812
  0.4983  -0.0381  34.45025   3.1873  26334.32812
  0.7217   0.1011  35.17020   2.9247  26334.33008
 -0.4510   0.0238  34.42470   2.9517  26334.33398
 -0.3515   0.0489  34.98105   2.9146  26334.33203
  0.7897   0.2664  34.81175   2.7379  26334.33398
  0.6693   0.2316  34.80870   3.2681  26334.33398
  0.2872   0.1417  34.71895   3.2126  26334.33594
  0.3238   0.2345  34.53175   3.0257  26334.33594
  0.0882   0.1504  34.52560   3.1570  26334.33594
 -0.2625  -0.0265  34.04420   2.9247  26334.33789
  0.3378  -0.0342  34.55930   3.2008  26334.33789
  0.2191   0.0083  34.42775   3.1671  26334.33984
  0.9101   0.0663  34.08395   3.3085  26334.34180
  0.7636   0.0547  34.97175   3.4701  26334.34180
  1.1544   0.1630  34.53650   3.1402  26334.34375
  0.8473   0.1785  34.53250   3.0527  26334.34375
  0.2819   0.0277  34.78775   3.4567  26334.34570
 -0.1107   0.0895  34.24820   3.6772  26334.34766
 -0.4824  -0.0497  34.42150   3.5408  26334.34961
 -0.5661   0.0924  34.51815   3.6115  26334.34961
 -0.4667   0.3331  34.95040   3.7529  26334.35156
 -0.5836   0.1978  34.78535   3.6856  26334.35156
 -0.4091   0.0895  35.83045   3.7327  26334.35352
  0.1214  -0.2391  35.15455   3.5981  26334.35352
  0.2872  -0.2179  34.81785   3.4701  26334.35547
  0.0778  -0.1338  34.71185   3.4499  26334.35547
 -0.1630  -0.1715  34.45235   3.5004  26334.35742
  0.8159   0.0982  34.62410   3.5105  26334.35742
  0.9834   0.1446  34.70950   3.5661  26334.35938
 -0.1107   0.0373  34.88690   3.7529  26334.35938
  0.3099   0.2094  34.92080   3.7327  26334.36133
  0.2924   0.0953  34.44180   3.6519  26334.36133
  0.6379   0.0953  34.99050   3.5307  26334.36328
  0.6484   0.0895  34.44765   3.4903  26334.36328
  0.4076   0.1398  34.43145   3.5375  26334.36523
  0.6170   0.1166  34.54555   3.5442  26334.36523
  0.8107   0.0170  34.60565   3.6317  26334.36719
 -0.0374  -0.2034  35.15260   3.6368  26334.36719
  0.4861  -0.1338  34.96375   3.5105  26334.36914
  0.6379  -0.1918  34.70915   3.5105  26334.36914
  0.4076  -0.2440  34.70100   3.4398  26334.37109
  0.3866  -0.2817  34.94685   3.3691  26334.37109
 -0.0322  -0.3861  35.15370   3.5105  26334.37305
  0.0935  -0.1773  34.48455   3.4095  26334.37305
  0.1144   0.0431  35.26955   3.7529  26334.37500
  0.6327   0.1649  34.81515   3.6267  26334.37500
